index,Año,Trimestre,Provincia,Mbps (Media de bajada)
308,2021,2,Santa Fe,30,70
309,2021,2,Santiago Del Estero,12,72
310,2021,2,Tierra Del Fuego,8,59
311,2021,2,Tucumán,40,31
312,2021,1,Buenos Aires,50,79
313,2021,1,Capital Federal,68,29
314,2021,1,Catamarca,39,97
315,2021,1,Chaco,33,63
316,2021,1,Chubut,7,53
317,2021,1,Córdoba,36,17
318,2021,1,Corrientes,25,99
319,2021,1,Entre Ríos,23,87
320,2021,1,Formosa,20,98
321,2021,1,Jujuy,26,78
322,2021,1,La Pampa,10,73
323,2021,1,La Rioja,12,70
324,2021,1,Mendoza,12,60
325,2021,1,Misiones,25,08
326,2021,1,Neuquén,34,24
327,2021,1,Río Negro,21,92
328,2021,1,Salta,27,32
329,2021,1,San Juan,6,91
330,2021,1,San Luis,21,59
331,2021,1,Santa Cruz,7,50
332,2021,1,Santa Fe,28,13
333,2021,1,Santiago Del Estero,11,58
334,2021,1,Tierra Del Fuego,8,73
335,2021,1,Tucumán,37,98
336,2020,4,Buenos Aires,50,01
337,2020,4,Capital Federal,67,33
338,2020,4,Catamarca,37,65
339,2020,4,Chaco,32,45
340,2020,4,Chubut,7,38
341,2020,4,Córdoba,35,12
342,2020,4,Corrientes,25,45
343,2020,4,Entre Ríos,24,05
344,2020,4,Formosa,19,70
345,2020,4,Jujuy,25,21
346,2020,4,La Pampa,9,88
347,2020,4,La Rioja,12,53
348,2020,4,Mendoza,11,09
349,2020,4,Misiones,24,96
350,2020,4,Neuquén,33,91
351,2020,4,Río Negro,21,64
352,2020,4,Salta,25,32
353,2020,4,San Juan,6,41
354,2020,4,San Luis,21,25
355,2020,4,Santa Cruz,7,49
356,2020,4,Santa Fe,27,29
357,2020,4,Santiago Del Estero,11,28
358,2020,4,Tierra Del Fuego,8,49
359,2020,4,Tucumán,36,44
360,2020,3,Buenos Aires,48,38
361,2020,3,Capital Federal,63,81
362,2020,3,Catamarca,36,54
363,2020,3,Chaco,30,80
364,2020,3,Chubut,7,40
365,2020,3,Córdoba,33,51
366,2020,3,Corrientes,23,85
367,2020,3,Entre Ríos,22,43
368,2020,3,Formosa,18,28
369,2020,3,Jujuy,21,91
370,2020,3,La Pampa,10,70
371,2020,3,La Rioja,12,19
372,2020,3,Mendoza,10,19
373,2020,3,Misiones,24,14
374,2020,3,Neuquén,31,46
375,2020,3,Río Negro,21,08
376,2020,3,Salta,25,26
377,2020,3,San Juan,6,03
378,2020,3,San Luis,20,85
379,2020,3,Santa Cruz,6,65
380,2020,3,Santa Fe,25,69
381,2020,3,Santiago Del Estero,10,88
382,2020,3,Tierra Del Fuego,8,51
383,2020,3,Tucumán,34,84
384,2020,2,Buenos Aires,45,66
385,2020,2,Capital Federal,60,48
386,2020,2,Catamarca,34,93
387,2020,2,Chaco,27,95
388,2020,2,Chubut,7,61
389,2020,2,Córdoba,30,99
390,2020,2,Corrientes,22,15
391,2020,2,Entre Ríos,20,45
392,2020,2,Formosa,16,87
393,2020,2,Jujuy,15,86
394,2020,2,La Pampa,8,03
395,2020,2,La Rioja,11,67
396,2020,2,Mendoza,9,27
397,2020,2,Misiones,22,56
398,2020,2,Neuquén,29,10
399,2020,2,Río Negro,19,68
400,2020,2,Salta,22,56
401,2020,2,San Juan,6,31
402,2020,2,San Luis,21,02
403,2020,2,Santa Cruz,6,59
404,2020,2,Santa Fe,23,93
405,2020,2,Santiago Del Estero,10,41
406,2020,2,Tierra Del Fuego,8,13
407,2020,2,Tucumán,32,70
408,2020,1,Buenos Aires,45,18
409,2020,1,Capital Federal,58,71
410,2020,1,Catamarca,29,13
411,2020,1,Chaco,25,94
412,2020,1,Chubut,7,12
413,2020,1,Córdoba,29,39
414,2020,1,Corrientes,20,54
415,2020,1,Entre Ríos,19,03
416,2020,1,Formosa,15,70
417,2020,1,Jujuy,14,14
418,2020,1,La Pampa,7,29
419,2020,1,La Rioja,7,96
420,2020,1,Mendoza,8,44
421,2020,1,Misiones,22,15
422,2020,1,Neuquén,27,77
423,2020,1,Río Negro,19,06
424,2020,1,Salta,21,43
425,2020,1,San Juan,6,04
426,2020,1,San Luis,20,99
427,2020,1,Santa Cruz,6,42
428,2020,1,Santa Fe,22,42
429,2020,1,Santiago Del Estero,10,00
430,2020,1,Tierra Del Fuego,7,41
431,2020,1,Tucumán,32,25
432,2019,4,Buenos Aires,30,77
433,2019,4,Capital Federal,44,20
434,2019,4,Catamarca,24,88
435,2019,4,Chaco,23,37
436,2019,4,Chubut,6,99
437,2019,4,Córdoba,26,16
438,2019,4,Corrientes,19,26
439,2019,4,Entre Ríos,17,01
440,2019,4,Formosa,14,53
441,2019,4,Jujuy,12,96
442,2019,4,La Pampa,6,53
443,2019,4,La Rioja,8,00
444,2019,4,Mendoza,7,79
445,2019,4,Misiones,20,32
446,2019,4,Neuquén,26,02
447,2019,4,Río Negro,17,18
448,2019,4,Salta,19,08
449,2019,4,San Juan,6,04
450,2019,4,San Luis,20,69
451,2019,4,Santa Cruz,5,21
452,2019,4,Santa Fe,20,55
453,2019,4,Santiago Del Estero,9,79
454,2019,4,Tierra Del Fuego,7,27
455,2019,4,Tucumán,29,87
456,2019,3,Buenos Aires,25,68
457,2019,3,Capital Federal,38,71
458,2019,3,Catamarca,9,29
459,2019,3,Chaco,19,99
460,2019,3,Chubut,6,97
461,2019,3,Córdoba,23,19
462,2019,3,Corrientes,16,70
463,2019,3,Entre Ríos,14,70
464,2019,3,Formosa,13,22
465,2019,3,Jujuy,11,97
466,2019,3,La Pampa,5,72
467,2019,3,La Rioja,8,00
468,2019,3,Mendoza,6,11
469,2019,3,Misiones,17,93
470,2019,3,Neuquén,23,75
471,2019,3,Río Negro,15,98
472,2019,3,Salta,14,75
473,2019,3,San Juan,6,04
474,2019,3,San Luis,19,74
475,2019,3,Santa Cruz,5,02
476,2019,3,Santa Fe,18,17
477,2019,3,Santiago Del Estero,9,39
478,2019,3,Tierra Del Fuego,6,69
479,2019,3,Tucumán,19,32
480,2019,2,Buenos Aires,22,48
481,2019,2,Capital Federal,30,35
482,2019,2,Catamarca,8,81
483,2019,2,Chaco,16,01
484,2019,2,Chubut,6,05
485,2019,2,Córdoba,18,43
486,2019,2,Corrientes,13,83
487,2019,2,Entre Ríos,12,19
488,2019,2,Formosa,10,84
489,2019,2,Jujuy,12,07
490,2019,2,La Pampa,5,49
491,2019,2,La Rioja,7,89
492,2019,2,Mendoza,6,03
493,2019,2,Misiones,14,50
494,2019,2,Neuquén,17,24
495,2019,2,Río Negro,11,63
496,2019,2,Salta,12,55
497,2019,2,San Juan,6,12
498,2019,2,San Luis,19,88
499,2019,2,Santa Cruz,6,01
500,2019,2,Santa Fe,15,07
501,2019,2,Santiago Del Estero,7,10
502,2019,2,Tierra Del Fuego,6,34
503,2019,2,Tucumán,18,53
504,2019,1,Buenos Aires,19,64
505,2019,1,Capital Federal,24,72
506,2019,1,Catamarca,7,96
507,2019,1,Chaco,13,44
508,2019,1,Chubut,5,89
509,2019,1,Córdoba,15,73
510,2019,1,Corrientes,12,05
511,2019,1,Entre Ríos,10,66
